status,product_area,request_type,response,justification
escalated,claude_api_and_console,product_issue,"Workspace access changes must be handled by the appropriate workspace or organization administrator. I will escalate this to a human support specialist for review. The closest support area is claude_api_and_console for Claude. Reason: sensitive account, identity, privacy, or security issue; account-specific action or refund requested.","company kept as Claude. Request type=product_issue, product_area=claude_api_and_console, status=escalated. Retrieval scores: 0.97, 0.85, 0.84. Decision reason: sensitive account, identity, privacy, or security issue; account-specific action or refund requested. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude-api-and-console/using-the-claude-api-and-console/9796807-creating-and-managing-workspaces-in-the-claude-console.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude-api-and-console/using-the-claude-api-and-console/9796807-creating-and-managing-workspaces-in-the-claude-console.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,screen,product_issue,"I cannot review, change, or influence assessment scores or recruiter decisions. I will escalate this to a human support specialist for review. The closest support area is integrations for HackerRank. Reason: account-specific action or refund requested; retrieval score 0.73 below confidence threshold.","company kept as HackerRank. Request type=product_issue, product_area=screen, status=escalated. Retrieval scores: 0.73, 0.71, 0.66. Decision reason: account-specific action or refund requested; retrieval score 0.73 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/integrations/applicant-tracking-systems/greenhouse/2499611070-greenhouse---hackerrank-integration-tests-user-guide-.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/getting-started/3572240492-hackerrank-glossary.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,general_support,product_issue,"I cannot issue refunds, reverse charges, or make account-specific payment decisions. I will escalate this to a human support specialist for review. The closest support area is general_support for Visa. Reason: account-specific action or refund requested.","company kept as Visa. Request type=product_issue, product_area=general_support, status=escalated. Retrieval scores: 1.00, 1.00, 0.94. Decision reason: account-specific action or refund requested. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support/consumer/visa-rules.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,community,bug,"I cannot issue refunds, reverse charges, or make account-specific payment decisions. I will escalate this to a human support specialist for review. The closest support area is community for HackerRank. Reason: account-specific action or refund requested.","company kept as HackerRank. Request type=bug, product_area=community, status=escalated. Retrieval scores: 1.00, 1.00, 1.00. Decision reason: account-specific action or refund requested. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/9157064719-payments-and-billing-faqs.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/3282259518-purchase-mock-interviews.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,settings,product_issue,"I cannot issue refunds, reverse charges, or make account-specific payment decisions. I will escalate this to a human support specialist for review. The closest support area is integrations for HackerRank. Reason: retrieval score 0.43 below confidence threshold.","company kept as HackerRank. Request type=product_issue, product_area=settings, status=escalated. Retrieval scores: 0.43, 0.42, 0.42. Decision reason: retrieval score 0.43 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/integrations/applicant-tracking-systems/workday/1782819445-workday---hackerrank-tests-configuration-guide.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/hackerrank_community/subscriptions-payments-and-billing/4312449655-upgrade-subscription-plan.md. Label comparison: llm unavailable; used TF-IDF labels."
replied,uncategorized,product_issue,It is a good practice to familiarize your Candidates with the HackerRank platform before your hiring process begins. These practices reduce any surprises for your candidates and help maintain a positive atmosphere during each step of the hiring process. This article will help you with a few important aspects to consider in making the hiring process successful. HackerRank has put together the following best practices process for hiring early talent developers.,"company kept as HackerRank. Request type=product_issue, product_area=uncategorized, status=replied. Retrieval scores: 0.95, 0.91, 0.74. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/uncategorized/9695299159-onboarding-candidates.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/general-help/evaluation-guides/1216495690-early-talent-.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,community,bug,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is community for HackerRank. Reason: retrieval score 0.67 below confidence threshold.,"company kept as HackerRank. Request type=bug, product_area=community, status=escalated. Retrieval scores: 0.67, 0.63, 0.56. Decision reason: retrieval score 0.67 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/hackerrank_community/additional-resources/job-search-and-applications/1560975739-search-for-jobs.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/skillup/getting-started/2960935422-get-started-with-certify.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,screen,bug,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is skillup for HackerRank. Reason: critical platform availability or broad failure signal; retrieval score 0.60 below confidence threshold.,"company kept as HackerRank. Request type=bug, product_area=screen, status=escalated. Retrieval scores: 0.60, 0.52, 0.51. Decision reason: critical platform availability or broad failure signal; retrieval score 0.60 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/skillup/getting-started/7992263058-weekly-challenges.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/best-practice-guides/4291690360-plagiarism-best-practices-guide.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,interviews,bug,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is interviews for HackerRank. Reason: retrieval score 0.45 below confidence threshold.,"company kept as HackerRank. Request type=bug, product_area=interviews, status=escalated. Retrieval scores: 0.45, 0.42, 0.38. Decision reason: retrieval score 0.45 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/interviews/integrations/5805684780-zoom---hackerrank-interview-integration.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/test-reports/1972468979-understanding-errors-in-post-assessment-reports-for-coding-questions.md. Label comparison: llm unavailable; used TF-IDF labels."
escalated,screen,product_issue,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is uncategorized for HackerRank. Reason: retrieval score 0.67 below confidence threshold.,"company kept as HackerRank. Request type=product_issue, product_area=screen, status=escalated. Retrieval scores: 0.67, 0.62, 0.61. Decision reason: retrieval score 0.67 below confidence threshold. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/uncategorized/9695299159-onboarding-candidates.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/integrations/applicant-tracking-systems/zapier/7100809601-zapier-hackerrank-integration-test-user-guide.md. Label comparison: llm unavailable; used TF-IDF labels."
