status,product_area,request_type,response,justification
replied,screen,product_issue,Archived Test General Tests that are not in use can be archived. Set Custom Invite Expiration for Tests** You can now define how long a test invite stays active directly at the test level. Tests Term Section Definition Test General Online assessments available on the HackerRank platform that companies use to assess candidates for various roles. Active Tests General Tests that are in the published state can be used to send invites to candidates.,"company kept as HackerRank. Request type=product_issue, product_area=screen, status=replied. Retrieval scores: 0.81, 0.78, 0.69. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/getting-started/3572240492-hackerrank-glossary.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/general-help/release-notes/3121307537-july-2025-release-notes.md."
escalated,library,bug,I cannot safely complete that action directly from the support documentation. I will escalate this to a human support specialist for review. The closest support area is library for HackerRank. Reason: critical platform availability or broad failure signal; retrieval score 0.71 below confidence threshold; ticket is too vague to route safely.,"company kept as HackerRank. Request type=bug, product_area=library, status=escalated. Retrieval scores: 0.71, 0.36, 0.36. Decision reason: critical platform availability or broad failure signal; retrieval score 0.71 below confidence threshold; ticket is too vague to route safely. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/library/manage-question/4968606472-steps-to-create-accessible-content-at-hackerrank.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/hackerrank_community/account-settings/profile-and-preferences/2857822759-update-personal-details.md."
replied,screen,product_issue,"Click **Create Variants.** The system converts the existing test into **Variant 1** and opens **Variant 2**, where you can start creating the second version. Note:** You can also add skill-based questions or reuse existing sections directly from the empty variant screen using the **Add New Skill Bundle** or **Add from Other Variants** buttons. The redesigned Add Variant Logic workflow lets you route candidates to different test variants based on their answers to a qualifying question. For more information, see Adding extra time in variant-based tests, 📄 Create Test Variants.","company kept as HackerRank. Request type=product_issue, product_area=screen, status=replied. Retrieval scores: 1.00, 1.00, 0.89. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/managing-tests/7530103378-test-variants.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/managing-tests/7530103378-test-variants.md."
replied,screen,product_issue,"Do not add time to a test that contains DevOps questions after it ends or after the candidate submits it. Add Time Accommodation The **Add Time Accommodation** feature allows you to extend test duration either before or after sending candidate invites, as long as the candidate has not yet started the test. Required Send email Determines whether HackerRank sends the assessment invite email to the candidate. Note:** After you apply time accommodation, the updated duration appears in the test invite email and on the test landing page before the candidate starts the test.","company kept as HackerRank. Request type=product_issue, product_area=screen, status=replied. Retrieval scores: 0.98, 0.72, 0.71. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/managing-tests/4811403281-adding-extra-time-for-candidates.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/screen/managing-tests/4811403281-adding-extra-time-for-candidates.md."
replied,community,product_issue,"Issue 1: Invalid credentials Cause:** You entered an incorrect email address or password.\ HackerRank supports login using an email and password or third-party accounts such as Google, Facebook, LinkedIn, and GitHub. If you signed up using a third-party account (Google, Facebook, LinkedIn, or GitHub), use the same platform to log in. You must have a work account for Google that you use for the HackerRank login. Signing In to HackerRank Account with Google for Work Login 1.","company kept as HackerRank. Request type=product_issue, product_area=community, status=replied. Retrieval scores: 1.00, 1.00, 1.00. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/settings/user-account-settings-and-preferences/7046498277-update-or-reset-password.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/integrations/single-sign-on-sso/9826965692-log-in-to-hackerrank-with-google-workspace-account.md."
replied,conversation_management,product_issue,"Claude for Work, Claude API), see here.* Deleting and renaming individual conversations To delete or rename an individual conversation: 1. Select either ""Delete"" or ""Rename"" from the options that appear: Deleting conversations in bulk To delete multiple conversations at once: 1. Hover over the conversations you want to delete, and check the selection box that appears. There are some scenarios where you will need to **contact our team** to delete your account.","company kept as Claude. Request type=product_issue, product_area=conversation_management, status=replied. Retrieval scores: 0.82, 0.68, 0.65. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude/conversation-management/8230524-how-can-i-delete-or-rename-a-conversation.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/claude/claude/account-management/9028421-how-can-i-delete-my-claude-account.md."
replied,settings,invalid,"I am sorry, this request is outside the support scope I can answer from the provided documentation.","company kept as HackerRank. Request type=invalid, product_area=settings, status=replied. Retrieval scores: 0.41, 0.35, 0.32. Decision reason: out of scope or unsafe request. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/settings/company-level-admin-settings/1019487408-changing-the-company-name.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/general-help/release-notes/8074371720-january-2025-release-notes.md."
replied,travel_support,product_issue,"Contact us about traveller’s cheques Report a lost cheque Request a refund Keep cheques safe Report a lost cheque If your cheques are lost or stolen, they can be replaced or refunded subject to certain terms and conditions. How to accept Visa Traveller's Cheques. View security features How to accept Visa Traveller's Cheques A step-by-step checklist for accepting traveller's cheques. If you are in possession of traveller's cheques and suspect they might be fraudulent, please call the issuing bank immediately.","company kept as Visa. Request type=product_issue, product_area=travel_support, status=replied. Retrieval scores: 1.00, 1.00, 1.00. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support/small-business/travelers-cheques.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support/consumer/travelers-cheques.md."
replied,general_support,product_issue,"Know the emergency numbers for lost or stolen cards Take note of your card account number and the telephone number for the Visa Global Customer Assistance Services (GCAS) of the country you are travelling to. Visa cardholders can report lost or stolen Visa cards and request emergency services by calling the GCAS number. Make a copy of everything in your wallet Keep a record of card account numbers and telephone numbers for reporting lost or stolen cards. Visa card security features Visa card acceptance guidelines Fraud prevention Visa offers a variety of materials to support your fraud prevention, security and risk management efforts.","company kept as Visa. Request type=product_issue, product_area=general_support, status=replied. Retrieval scores: 1.00, 1.00, 1.00. Decision reason: sufficient corpus match for a direct reply. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support/small-business/fraud-protection.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/visa/support/consumer/travel-support.md."
replied,general_support,invalid,"I am sorry, this request is outside the support scope I can answer from the provided documentation.","company kept as HackerRank. Request type=invalid, product_area=general_support, status=replied. Retrieval scores: 0.84, 0.83, 0.82. Decision reason: out of scope or unsafe request. Sources: F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/general-help/campusuniversity-hiring/7220470055-support-for-campus-events.md, F:/Contests/HackerRank-Orchestrate/hackerrank-orchestrate-may26/data/hackerrank/general-help/release-notes/2321596225-january-2026-release-notes.md."
